100,380
200,223
300,2419
400,1624
500,563
600,123
700,108
800,104
900,128
1000,484
1100,136
1200,214
1300,163
1400,169
1500,291
1600,121
1700,85
1800,423
1900,83
2000,419
2100,77
2200,64
2300,71
2400,260
2500,171
2600,74
2700,73
2800,406
2900,547
3000,93
3100,121
3200,119
3300,148
3400,66
3500,332
3600,245
3700,151
3800,577
3900,112
4000,469
4100,267
4200,355
4300,87
4400,69
4500,164
4600,73
4700,110
4800,138
4900,483
5000,101
5100,86
5200,214
5300,83
5400,259
5500,76
5600,91
5700,92
5800,83
5900,152
6000,86
6100,443
6200,152
6300,195
6400,536
6500,535
6600,139
6700,117
6800,291
6900,264
7000,139
7100,161
7200,244
7300,93
7400,99
7500,271
7600,212
7700,251
7800,105
7900,133
8000,200
8100,33512
8200,446
8300,515
8400,333
8500,238
8600,334
8700,233
8800,106
8900,409
9000,305
9100,133
9200,167
9300,195
9400,198
9500,138
9600,226
9700,630
9800,209
9900,342
10000,192
10100,158
10200,284
10300,368
10400,286
10500,124
10600,368
10700,164
10800,254
10900,171
11000,425
11100,191
11200,184
11300,368
11400,249
11500,318
11600,225
11700,169
11800,261
11900,260
12000,241
12100,133
12200,197
12300,522
12400,250
12500,333
12600,323
12700,821
12800,208
12900,310
13000,138
13100,301
13200,250
13300,220
13400,282
13500,236
13600,266
13700,360
13800,303
13900,208
14000,233
14100,293
14200,263
14300,929
14400,160
14500,354
14600,308
14700,268
14800,263
14900,255
15000,162
15100,399
15200,190
15300,258
15400,159
15500,359
15600,219
15700,288
15800,205
15900,405
16000,972
16100,151
16200,165
16300,488
16400,302
16500,244
16600,401
16700,374
16800,131
16900,266
17000,170
17100,453
17200,206
17300,308
17400,307
17500,170
17600,281
17700,280
17800,137
17900,262
18000,230
18100,333
18200,191
18300,312
18400,482
18500,268
18600,279
18700,203
18800,244
18900,425
19000,489
19100,290
19200,261
19300,340
19400,205
19500,241
19600,333
19700,242
19800,407
19900,272
